SMILES,Structure: Image,Substance Identification: Reaxys Registry Number,Links to Reaxys,Data Count,CAS Registry Number,Chemical Name,Linear Structure Formula,Molecular Formula,Molecular Weight,Type of Substance,Type and Modification,InChI Key,Composition: Comp. Name,Composition: Comp. Conc.,Composition: Comp. Attrib.,Field Availability,Number of Reactions,Number of References,LogP,H Bond Donors,H Bond Acceptors,Rotatable Bonds,TPSA,Lipinski Number,Veber Number,Melting Point: Melting Point [C],Solvent (Melting Point),Location,Comment (Melting Point),Crystallizes With,Amount (Melting Point) [mol],References,Links to Reaxys.1,Solubility (MCS): Solubility [g·l-1],Saturation,Temperature_C,Solvent,Ratio of Solvents,Location.1,Comment (Solubility (MCS)),References.1,Links to Reaxys.2,Unnamed: 43,logS
NC(CC1=CC=C(O)C=C1)C(O)=O,,515881,https://www-reaxys-com.sabidi.urv.cat/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D515881&database=RX&origin=ReaxysOutput&ln=,(28 of 2088),,›Tyr; tyrosine; DL-tyrosine; L-tyrosine; Tyr; DL-Tyr,NH2CH(CH2C6H4OH)COOH,C9H11NO3,181191.0,isocyclic,,OUYCCCASQSFEME-UHFFFAOYSA-N,,,,Identification(43719); Physical Data(231); Spectra(162); Bioactivity(2284),875.0,44280,-1785.0,3.0,3.0,3.0,83.55,4.0,2.0,,,,Decomposition.at:316 degreeC. - :320 degreeC.bei raschem Erhitzen.,,,"Article; Fischer,E.; Chemische Berichte; vol. 32; (1899); p. 3639;",https://www-reaxys-com.sabidi.urv.cat/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D2160581&database=RX&origin=ReaxysOutput&ln=,,in pure solvent,39.99,water,,,Solubility: 0.0042 mol/kg,"Article; Saha, Soumen; Ghosh, Srabani; Mondal, Samiran; Dolui, Bijoy Krishna; Journal of Solution Chemistry; vol. 49; 6; (2020); p. 733 - 762;",https://www-reaxys-com.sabidi.urv.cat/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D80223137&database=RX&origin=ReaxysOutput&ln=,,-2.3767507096021
NC(CC1=CC=C(O)C=C1)C(O)=O,,515881,https://www-reaxys-com.sabidi.urv.cat/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D515881&database=RX&origin=ReaxysOutput&ln=,(28 of 2088),,›Tyr; tyrosine; DL-tyrosine; L-tyrosine; Tyr; DL-Tyr,NH2CH(CH2C6H4OH)COOH,C9H11NO3,181191.0,isocyclic,,OUYCCCASQSFEME-UHFFFAOYSA-N,,,,Identification(43719); Physical Data(231); Spectra(162); Bioactivity(2284),875.0,44280,-1785.0,3.0,3.0,3.0,83.55,4.0,2.0,,,,,,,,,,in pure solvent,44.99,water,,,Solubility: 0.0048 mol/kg,"Article; Saha, Soumen; Ghosh, Srabani; Mondal, Samiran; Dolui, Bijoy Krishna; Journal of Solution Chemistry; vol. 49; 6; (2020); p. 733 - 762;",https://www-reaxys-com.sabidi.urv.cat/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D80223137&database=RX&origin=ReaxysOutput&ln=,,-2.318758762624413
O[C@H]1CC2=C(O)C=C(O)C=C2O[C@@H]1C1=CC=C(O)C(O)=C1,,92761,https://www-reaxys-com.sabidi.urv.cat/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D92761&database=RX&origin=ReaxysOutput&ln=,(29 of 2088),154-23-4,"catechin; (+)-Cianidanol; catechol; (2R,3S)-2-(3,4-dihydroxyphenyl)-3,4-dihydro-2H-chromene-3,5,7-triol; D-(+)-catechin; catechine; (+)-(2R,3S)-catechin; catechin hydrate; (-)-epicatechin; catechinic acid; cathechin; (2R,3S)-2-(3,4-dihydroxyphenyl)-3,4-dihydro-1(2H)-benzopyran-3,5,7-triol; 2-(3,4-dihydroxyphenyl)-3,4-dihydro-2H-chromene-3,5,7-triol; (+)-trans-3,3,4,5,7-pentahydroxy flavane; catechuic acid; D-catechol; (2R-trans)-2-(3,4-dihydroxyphenyl)-3,4-dihydro-2H-1-benzopyran-3,5,7-triol",C9H6O(OH)3C6H3(OH)2,C15H14O6,290273.0,heterocyclic,,PFTAWBLQPZVEMU-DZGCQCFKSA-N,,,,Identification(46761); Physical Data(467); Spectra(893); Bioactivity(4300),887.0,44049,1461.0,5.0,1.0,1.0,110.38,4.0,2.0,175 - 177,,supporting information,,,,"Article; Ali, Hassan;Ullah, Khair;Siddiqui, Hina;Iqbal, Shazia;Atia-tul-Wahab;Goren, Nezhun;Ayatollahi, Seyed Abdulmajid;Atta-ur-Rahman;Choudhary, M. Iqbal; Bioorganic Chemistry; vol. 96; (2020);; ; Article; Mshengu, Bongiwe;Dube, Sinenkosi;Khathi, Andile;Musabayane, Cephas;van Heerden, Fanie; Natural Product Research; vol. 39; 5; (2025); p. 1374 - 1379;",https://www-reaxys-com.sabidi.urv.cat/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D78936415&database=RX&origin=ReaxysOutput&ln=,0.00076,in pure solvent,37.0,water,,,,"Article; Chen, Fengyang;Tang, Xia;Zhu, Yuan;Li, Hang;Yang, Baoru;Sheng, Qinghai;Zhao, Qingsheng; New Journal of Chemistry; vol. 49; 14; (2025); p. 6057 - 6073;",https://www-reaxys-com.sabidi.urv.cat/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D140213840&database=RX&origin=ReaxysOutput&ln=,,-5.581993049143909
O[C@H]1CC2=C(O)C=C(O)C=C2O[C@@H]1C1=CC=C(O)C(O)=C1,,92761,https://www-reaxys-com.sabidi.urv.cat/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D92761&database=RX&origin=ReaxysOutput&ln=,(29 of 2088),154-23-4,"catechin; (+)-Cianidanol; catechol; (2R,3S)-2-(3,4-dihydroxyphenyl)-3,4-dihydro-2H-chromene-3,5,7-triol; D-(+)-catechin; catechine; (+)-(2R,3S)-catechin; catechin hydrate; (-)-epicatechin; catechinic acid; cathechin; (2R,3S)-2-(3,4-dihydroxyphenyl)-3,4-dihydro-1(2H)-benzopyran-3,5,7-triol; 2-(3,4-dihydroxyphenyl)-3,4-dihydro-2H-chromene-3,5,7-triol; (+)-trans-3,3,4,5,7-pentahydroxy flavane; catechuic acid; D-catechol; (2R-trans)-2-(3,4-dihydroxyphenyl)-3,4-dihydro-2H-1-benzopyran-3,5,7-triol",C9H6O(OH)3C6H3(OH)2,C15H14O6,290273.0,heterocyclic,,PFTAWBLQPZVEMU-DZGCQCFKSA-N,,,,Identification(46761); Physical Data(467); Spectra(893); Bioactivity(4300),887.0,44049,1461.0,5.0,1.0,1.0,110.38,4.0,2.0,209 - 211,,,,,,"Article; Imtiaz, Fariha;Islam, Muhammad;Saeed, Hamid;Ahmed, Abrar; Journal of Biomolecular Structure and Dynamics; vol. 41; 21; (2023); p. 11872 - 11888;",https://www-reaxys-com.sabidi.urv.cat/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D123255539&database=RX&origin=ReaxysOutput&ln=,2.26,in pure solvent,25.59,water,,,,"Article; Srinivas, Keerthi; King, Jerry W.; Howard, Luke R.; Monrad, Jeana K.; Journal of Chemical and Engineering Data; vol. 55; 9; (2010); p. 3101 - 3108;",https://www-reaxys-com.sabidi.urv.cat/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D9033245&database=RX&origin=ReaxysOutput&ln=,,-2.1086982022773
O[C@H]1CC2=C(O)C=C(O)C=C2O[C@@H]1C1=CC=C(O)C(O)=C1,,92761,https://www-reaxys-com.sabidi.urv.cat/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D92761&database=RX&origin=ReaxysOutput&ln=,(29 of 2088),154-23-4,"catechin; (+)-Cianidanol; catechol; (2R,3S)-2-(3,4-dihydroxyphenyl)-3,4-dihydro-2H-chromene-3,5,7-triol; D-(+)-catechin; catechine; (+)-(2R,3S)-catechin; catechin hydrate; (-)-epicatechin; catechinic acid; cathechin; (2R,3S)-2-(3,4-dihydroxyphenyl)-3,4-dihydro-1(2H)-benzopyran-3,5,7-triol; 2-(3,4-dihydroxyphenyl)-3,4-dihydro-2H-chromene-3,5,7-triol; (+)-trans-3,3,4,5,7-pentahydroxy flavane; catechuic acid; D-catechol; (2R-trans)-2-(3,4-dihydroxyphenyl)-3,4-dihydro-2H-1-benzopyran-3,5,7-triol",C9H6O(OH)3C6H3(OH)2,C15H14O6,290273.0,heterocyclic,,PFTAWBLQPZVEMU-DZGCQCFKSA-N,,,,Identification(46761); Physical Data(467); Spectra(893); Bioactivity(4300),887.0,44049,1461.0,5.0,1.0,1.0,110.38,4.0,2.0,265 - 268,,,,,,"Article; Anish, Rajamohanan Jalaja;Mohanan, Biji;Aswathy, Thankamani Ravikumar;Nair, Aswathy;Radhakrishnan;Rauf, Arun A.; Journal of Ethnopharmacology; vol. 308; (2023);",https://www-reaxys-com.sabidi.urv.cat/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D124563620&database=RX&origin=ReaxysOutput&ln=,5.03,in pure solvent,41.49,water,,,,"Article; Srinivas, Keerthi; King, Jerry W.; Howard, Luke R.; Monrad, Jeana K.; Journal of Chemical and Engineering Data; vol. 55; 9; (2010); p. 3101 - 3108;",https://www-reaxys-com.sabidi.urv.cat/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D9033245&database=RX&origin=ReaxysOutput&ln=,,-1.7612386563687732
OC(=O)C1=CC(O)=C(O)C(O)=C1,,2050274,https://www-reaxys-com.sabidi.urv.cat/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D2050274&database=RX&origin=ReaxysOutput&ln=,(30 of 2088),149-91-7,"3,4,5-trihydroxybenzoic acid; gallic acid; galic acid",C6H2(OH)3COOH,C7H6O5,170122.0,isocyclic,,LNTHITQWFMADLM-UHFFFAOYSA-N,,,,Identification(38225); Physical Data(729); Spectra(980); Bioactivity(5299),2797.0,43342,1009.0,4.0,2.0,1.0,97.99,4.0,2.0,211,,supporting information,,,,"Article; Tripathi, Nancy;Naik, Aliva;Kumar, Dulla Naveen;Bhardwaj, Nivedita;Goel, Bharat;Kumar, Sanjay;Chakrabarty, Sanheeta;Ranjan, Amit;Guru, Santosh Kumar;Kumar, Sanjeev;Agrawal, Ashish;Jain, Shreyans K.; Natural Product Research; vol. 39; 10; (2025); p. 2771 - 2779;",https://www-reaxys-com.sabidi.urv.cat/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D132326968&database=RX&origin=ReaxysOutput&ln=,1.19,in pure solvent,25.0,water,,Paragraph 0134,,Patent; INDUSTRY FOUNDATION OF CHONNAM NATIONAL UNIVERSITY; KR2024/176139; (2024); A;,https://www-reaxys-com.sabidi.urv.cat/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D138606500&database=RX&origin=ReaxysOutput&ln=,,-2.1552135183622347
OC(=O)C1=CC(O)=C(O)C(O)=C1,,2050274,https://www-reaxys-com.sabidi.urv.cat/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D2050274&database=RX&origin=ReaxysOutput&ln=,(30 of 2088),149-91-7,"3,4,5-trihydroxybenzoic acid; gallic acid; galic acid",C6H2(OH)3COOH,C7H6O5,170122.0,isocyclic,,LNTHITQWFMADLM-UHFFFAOYSA-N,,,,Identification(38225); Physical Data(729); Spectra(980); Bioactivity(5299),2797.0,43342,1009.0,4.0,2.0,1.0,97.99,4.0,2.0,235 - 237,,,,,,"Article; Kalaskar, Mohan G.;Prabhu, Srinivasan;Ayyanar, Muniappan;Redasani, Vivekkumar K.;Firke, Sandip D.;Khan, Md Mujeeb G.;Khadse, Saurabh S.;Jain, Pankaj G.;Surana, Sanjay J.;Gurav, Shailendra; Journal of Ethnopharmacology; vol. 342; (2025);",https://www-reaxys-com.sabidi.urv.cat/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D139249958&database=RX&origin=ReaxysOutput&ln=,13.19,in pure solvent,25.0,water,,,,"Article; Zhang, Siyu; Akoh, Casimir C.; Food Chemistry; vol. 305; (2020);",https://www-reaxys-com.sabidi.urv.cat/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D77679176&database=RX&origin=ReaxysOutput&ln=,,-1.1105156842084003
OC(=O)C1=CC(O)=C(O)C(O)=C1,,2050274,https://www-reaxys-com.sabidi.urv.cat/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D2050274&database=RX&origin=ReaxysOutput&ln=,(30 of 2088),149-91-7,"3,4,5-trihydroxybenzoic acid; gallic acid; galic acid",C6H2(OH)3COOH,C7H6O5,170122.0,isocyclic,,LNTHITQWFMADLM-UHFFFAOYSA-N,,,,Identification(38225); Physical Data(729); Spectra(980); Bioactivity(5299),2797.0,43342,1009.0,4.0,2.0,1.0,97.99,4.0,2.0,251 - 252,,Paragraph 0025,,,,Patent; ZHEJIANG UNIVERSITY OF TECHNOLOGY; CN119330820; (2025); A;,https://www-reaxys-com.sabidi.urv.cat/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D139069282&database=RX&origin=ReaxysOutput&ln=,11.9,,31.84,water,,,,"Article; Sarmah, Kashyap Kumar; Nath, Nilamoni; Rao, Dharmaraj R.; Thakuria, Ranjit; CrystEngComm; vol. 22; 6; (2020); p. 1120 - 1130;",https://www-reaxys-com.sabidi.urv.cat/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D79091055&database=RX&origin=ReaxysOutput&ln=,,-1.1552135183622347
OC(=O)C1=CC(O)=C(O)C(O)=C1,,2050274,https://www-reaxys-com.sabidi.urv.cat/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D2050274&database=RX&origin=ReaxysOutput&ln=,(30 of 2088),149-91-7,"3,4,5-trihydroxybenzoic acid; gallic acid; galic acid",C6H2(OH)3COOH,C7H6O5,170122.0,isocyclic,,LNTHITQWFMADLM-UHFFFAOYSA-N,,,,Identification(38225); Physical Data(729); Spectra(980); Bioactivity(5299),2797.0,43342,1009.0,4.0,2.0,1.0,97.99,4.0,2.0,248 - 251,,,,,,"Article; Gandhi, Dipal M.;Sharma, Kriti H.;Kumar S, Aakash;Shah, Jigar N.;Patel, Snehal S.; Fitoterapia; vol. 183; (2025);",https://www-reaxys-com.sabidi.urv.cat/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D140930472&database=RX&origin=ReaxysOutput&ln=,11,in pure solvent,25.0,water,,,,"Article; Czerniak, Kamil; Biedziak, Agnieszka; Krawczyk, Krzysztof; Pernak, Juliusz; Tetrahedron; vol. 72; 47; (2016); p. 7409 - 7476;",https://www-reaxys-com.sabidi.urv.cat/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D69952180&database=RX&origin=ReaxysOutput&ln=,,-1.1893677945965406
OC(=O)C1=CC(O)=C(O)C(O)=C1,,2050274,https://www-reaxys-com.sabidi.urv.cat/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D2050274&database=RX&origin=ReaxysOutput&ln=,(30 of 2088),149-91-7,"3,4,5-trihydroxybenzoic acid; gallic acid; galic acid",C6H2(OH)3COOH,C7H6O5,170122.0,isocyclic,,LNTHITQWFMADLM-UHFFFAOYSA-N,,,,Identification(38225); Physical Data(729); Spectra(980); Bioactivity(5299),2797.0,43342,1009.0,4.0,2.0,1.0,97.99,4.0,2.0,251 - 252,,,,,,"Article; Hussien, Samah M.A.;Abdou, Allia M.;Saad, Amal M.;Hamed, Ahmed A.;Zahran, Magdy K.;Ghareeb, Mosad A.; Egyptian Journal of Chemistry; vol. 68; 9; (2025); p. 453 - 466;",https://www-reaxys-com.sabidi.urv.cat/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D141655162&database=RX&origin=ReaxysOutput&ln=,14.38,in pure solvent,29.84,water,,,,"Article; Cláudio, Ana Filipa M.; Neves, Márcia C.; Shimizu, Karina; Canongia Lopes, José N.; Freire, Mara G.; Coutinho, João A. P.; Green Chemistry; vol. 17; 7; (2015); p. 3948 - 3963;",https://www-reaxys-com.sabidi.urv.cat/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D66579567&database=RX&origin=ReaxysOutput&ln=,,-1.0730015937079018
OC(=O)C1=CC(O)=C(O)C(O)=C1,,2050274,https://www-reaxys-com.sabidi.urv.cat/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D2050274&database=RX&origin=ReaxysOutput&ln=,(30 of 2088),149-91-7,"3,4,5-trihydroxybenzoic acid; gallic acid; galic acid",C6H2(OH)3COOH,C7H6O5,170122.0,isocyclic,,LNTHITQWFMADLM-UHFFFAOYSA-N,,,,Identification(38225); Physical Data(729); Spectra(980); Bioactivity(5299),2797.0,43342,1009.0,4.0,2.0,1.0,97.99,4.0,2.0,260.7,,,,,,"Article; Zhang, Xu;Wang, Lei;Yao, Changlin;Song, Shuhong;Li, Huimin;Qu, Yaqian;Wang, Hongshuai;Han, Peizhuo;Hanlin, Zhao;Ren, Yaqi;Xu, Lufeng;Tao, Xutang; Crystal Growth and Design; vol. 25; 15; (2025); p. 5886 - 5895;",https://www-reaxys-com.sabidi.urv.cat/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D142349757&database=RX&origin=ReaxysOutput&ln=,,in pure solvent,29.99,water,,,Solubility: 0.1706 molpercent,"Article; Noubigh, Adel; Aydi, Abdelkarim; Mgaidi, Arbi; Abderrabba, Manef; Journal of Molecular Liquids; vol. 187; (2013); p. 226 - 229;",https://www-reaxys-com.sabidi.urv.cat/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D61470781&database=RX&origin=ReaxysOutput&ln=,,-1.023655239627083
OC(=O)C1=CC(O)=C(O)C(O)=C1,,2050274,https://www-reaxys-com.sabidi.urv.cat/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D2050274&database=RX&origin=ReaxysOutput&ln=,(30 of 2088),149-91-7,"3,4,5-trihydroxybenzoic acid; gallic acid; galic acid",C6H2(OH)3COOH,C7H6O5,170122.0,isocyclic,,LNTHITQWFMADLM-UHFFFAOYSA-N,,,,Identification(38225); Physical Data(729); Spectra(980); Bioactivity(5299),2797.0,43342,1009.0,4.0,2.0,1.0,97.99,4.0,2.0,251,,Paragraph 0095,,,,Patent; SRAVATHI ADVANCE PROCESS TECH PRIVATE; US2025/270161; (2025); A1;,https://www-reaxys-com.sabidi.urv.cat/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D143148874&database=RX&origin=ReaxysOutput&ln=,,in pure solvent,34.99,water,,,Solubility: 0.22661 molpercent,"Article; Noubigh, Adel; Aydi, Abdelkarim; Mgaidi, Arbi; Abderrabba, Manef; Journal of Molecular Liquids; vol. 187; (2013); p. 226 - 229;",https://www-reaxys-com.sabidi.urv.cat/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D61470781&database=RX&origin=ReaxysOutput&ln=,,-0.9003551956664542
OC(=O)C1=CC(O)=C(O)C(O)=C1,,2050274,https://www-reaxys-com.sabidi.urv.cat/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D2050274&database=RX&origin=ReaxysOutput&ln=,(30 of 2088),149-91-7,"3,4,5-trihydroxybenzoic acid; gallic acid; galic acid",C6H2(OH)3COOH,C7H6O5,170122.0,isocyclic,,LNTHITQWFMADLM-UHFFFAOYSA-N,,,,Identification(38225); Physical Data(729); Spectra(980); Bioactivity(5299),2797.0,43342,1009.0,4.0,2.0,1.0,97.99,4.0,2.0,260,,,,,,"Article; Athankar, Kanti Kumar; Wasewar, Kailas L.; Varma, Mahesh N.; Shende, Diwakar Z.; New Journal of Chemistry; vol. 40; 3; (2016); p. 2413 - 2417;; ; Article; Faroque, Muhammad U.;Mehmood, Arshad;Noureen, Sajida;Ahmed, Maqsood; Journal of Molecular Structure; vol. 1214; (2020);; ; Article; Deka, Poonam;Gogoi, Diptajyoti;Althubeiti, Khaled;Rao, Dharmaraj R.;Thakuria, Ranjit; Crystal Growth and Design; vol. 21; 8; (2021); p. 4417 - 4425;; ; Article; Liu, Lu; Yu, Yue-Ming; Bu, Fan-Zhi; Li, Yan-Tuan; Yan, Cui-Wei; Wu, Zhi-Yong; Crystal Growth and Design; vol. 22; 3; (2022); p. 1623 - 1637;; ; Article; Dolma, Shudh Kirti;Singh, Prithvi Pal;Reddy, Sajjalavarahalli G. Eswara; Molecules; vol. 27; 6; (2022);; ; Article; Mohamed Mydeen;Ramachandran, Sasikumar;Krishanasamy, Balaji;Muthukaruppan, Alagar; Reactive and functional polymers; vol. 198; (2024);",https://www-reaxys-com.sabidi.urv.cat/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D68481535&database=RX&origin=ReaxysOutput&ln=,,in pure solvent,39.99,water,,,Solubility: 0.28901 molpercent,"Article; Noubigh, Adel; Aydi, Abdelkarim; Mgaidi, Arbi; Abderrabba, Manef; Journal of Molecular Liquids; vol. 187; (2013); p. 226 - 229;",https://www-reaxys-com.sabidi.urv.cat/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D61470781&database=RX&origin=ReaxysOutput&ln=,,-0.7947213964713014
OC(=O)C1=CC(O)=C(O)C(O)=C1,,2050274,https://www-reaxys-com.sabidi.urv.cat/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D2050274&database=RX&origin=ReaxysOutput&ln=,(30 of 2088),149-91-7,"3,4,5-trihydroxybenzoic acid; gallic acid; galic acid",C6H2(OH)3COOH,C7H6O5,170122.0,isocyclic,,LNTHITQWFMADLM-UHFFFAOYSA-N,,,,Identification(38225); Physical Data(729); Spectra(980); Bioactivity(5299),2797.0,43342,1009.0,4.0,2.0,1.0,97.99,4.0,2.0,256.5,,,,,,"Article; Nechipadappu, Sunil Kumar; Reddy, Indukuru Ramesh; Tarafder, Kartick; Trivedi, Darshak R.; Crystal Growth and Design; vol. 19; 1; (2019); p. 347 - 361;",https://www-reaxys-com.sabidi.urv.cat/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D75667026&database=RX&origin=ReaxysOutput&ln=,13,in pure solvent,25.59,water,,,,"Article; Srinivas, Keerthi; King, Jerry W.; Howard, Luke R.; Monrad, Jeana K.; Journal of Chemical and Engineering Data; vol. 55; 9; (2010); p. 3101 - 3108;",https://www-reaxys-com.sabidi.urv.cat/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D9033245&database=RX&origin=ReaxysOutput&ln=,,-1.1168171274479288
OC(=O)C1=CC(O)=C(O)C(O)=C1,,2050274,https://www-reaxys-com.sabidi.urv.cat/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D2050274&database=RX&origin=ReaxysOutput&ln=,(30 of 2088),149-91-7,"3,4,5-trihydroxybenzoic acid; gallic acid; galic acid",C6H2(OH)3COOH,C7H6O5,170122.0,isocyclic,,LNTHITQWFMADLM-UHFFFAOYSA-N,,,,Identification(38225); Physical Data(729); Spectra(980); Bioactivity(5299),2797.0,43342,1009.0,4.0,2.0,1.0,97.99,4.0,2.0,78.6,,,,,,"Article; Nechipadappu, Sunil Kumar; Reddy, Indukuru Ramesh; Tarafder, Kartick; Trivedi, Darshak R.; Crystal Growth and Design; vol. 19; 1; (2019); p. 347 - 361;",https://www-reaxys-com.sabidi.urv.cat/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D75667026&database=RX&origin=ReaxysOutput&ln=,25,in pure solvent,41.49,water,,,,"Article; Srinivas, Keerthi; King, Jerry W.; Howard, Luke R.; Monrad, Jeana K.; Journal of Chemical and Engineering Data; vol. 55; 9; (2010); p. 3101 - 3108;",https://www-reaxys-com.sabidi.urv.cat/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D9033245&database=RX&origin=ReaxysOutput&ln=,,-0.8328204710827279
OC(=O)C1=CC(O)=C(O)C(O)=C1,,2050274,https://www-reaxys-com.sabidi.urv.cat/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D2050274&database=RX&origin=ReaxysOutput&ln=,(30 of 2088),149-91-7,"3,4,5-trihydroxybenzoic acid; gallic acid; galic acid",C6H2(OH)3COOH,C7H6O5,170122.0,isocyclic,,LNTHITQWFMADLM-UHFFFAOYSA-N,,,,Identification(38225); Physical Data(729); Spectra(980); Bioactivity(5299),2797.0,43342,1009.0,4.0,2.0,1.0,97.99,4.0,2.0,242 - 244,,,,,,"Article; Roheem, Fatimah Opeyemi; Soad, Siti Zaiton Mat; Ahmed, Qamar Uddin; Shah, Syed Adnan Ali; Latip, Jalifah; Zakaria, Zainul Amiruddin; Molecules; vol. 24; 6; (2019);",https://www-reaxys-com.sabidi.urv.cat/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D76223834&database=RX&origin=ReaxysOutput&ln=,,in solution,25.04,water,,,Solubility: 1.516 weight percent,"Article; Daneshfar, Ali; Ghaziaskar, Hassan S.; Homayoun, Nasrolah; Journal of Chemical and Engineering Data; vol. 53; 3; (2008); p. 776 - 778;",https://www-reaxys-com.sabidi.urv.cat/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D8811772&database=RX&origin=ReaxysOutput&ln=,,-1.0500612784587309
OC(=O)C1=CC(O)=C(O)C(O)=C1,,2050274,https://www-reaxys-com.sabidi.urv.cat/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D2050274&database=RX&origin=ReaxysOutput&ln=,(30 of 2088),149-91-7,"3,4,5-trihydroxybenzoic acid; gallic acid; galic acid",C6H2(OH)3COOH,C7H6O5,170122.0,isocyclic,,LNTHITQWFMADLM-UHFFFAOYSA-N,,,,Identification(38225); Physical Data(729); Spectra(980); Bioactivity(5299),2797.0,43342,1009.0,4.0,2.0,1.0,97.99,4.0,2.0,272,,,,,,"Retracted Article; Pang, Wenzhe; Wu, Yarong; Xue, Na; Li, Ying; Du, Shuang; He, Binnan; Yang, Caiqin; Wang, Jing; Zeng, Yanli; European Journal of Pharmaceutics and Biopharmaceutics; vol. 140; (2019); p. 78 - 90;",https://www-reaxys-com.sabidi.urv.cat/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D76618601&database=RX&origin=ReaxysOutput&ln=,,in solution,30.04,water,,,Solubility: 1.615 weight percent,"Article; Daneshfar, Ali; Ghaziaskar, Hassan S.; Homayoun, Nasrolah; Journal of Chemical and Engineering Data; vol. 53; 3; (2008); p. 776 - 778;",https://www-reaxys-com.sabidi.urv.cat/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D8811772&database=RX&origin=ReaxysOutput&ln=,,-1.0225879530876438
OC(=O)C1=CC(O)=C(O)C(O)=C1,,2050274,https://www-reaxys-com.sabidi.urv.cat/reaxys/secured/hopinto.do?context=S&query=IDE.XRN%3D2050274&database=RX&origin=ReaxysOutput&ln=,(30 of 2088),149-91-7,"3,4,5-trihydroxybenzoic acid; gallic acid; galic acid",C6H2(OH)3COOH,C7H6O5,170122.0,isocyclic,,LNTHITQWFMADLM-UHFFFAOYSA-N,,,,Identification(38225); Physical Data(729); Spectra(980); Bioactivity(5299),2797.0,43342,1009.0,4.0,2.0,1.0,97.99,4.0,2.0,252,,,,,,Article; Sayed; Nada; Abd El Hameed Mohamed; Ibrahim; Biomedicine and Pharmacotherapy; vol. 111; (2019); p. 613 - 623;,https://www-reaxys-com.sabidi.urv.cat/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D75717022&database=RX&origin=ReaxysOutput&ln=,,in solution,35.04,water,,,Solubility: 2.367 weight percent,"Article; Daneshfar, Ali; Ghaziaskar, Hassan S.; Homayoun, Nasrolah; Journal of Chemical and Engineering Data; vol. 53; 3; (2008); p. 776 - 778;",https://www-reaxys-com.sabidi.urv.cat/reaxys/secured/hopinto.do?context=C&query=CNR.CNR%3D8811772&database=RX&origin=ReaxysOutput&ln=,,-0.8565622218256828
